City_ID,City,Country,Max Temp,Lat,Lng,Hotel Name
1,Kahului,US,81.97,20.8947,-156.47,
3,Simga,IN,78.22,21.6333,81.7,
9,Georgetown,MY,80.53,5.4112,100.3354,
25,Torbay,CA,83.17,47.6666,-52.7314,
29,Golpayegan,IR,78.64,33.4537,50.2884,
34,Lorengau,PG,81.21,-2.0226,147.2712,
46,Celestun,MX,84.83,20.8667,-90.4,
48,Bhinga,IN,84.87,27.7167,81.9333,
53,Ribeira Grande,PT,79.2,38.5167,-28.7,
56,Mao,ES,84.76,39.8885,4.2658,
58,Westport,US,80.89,41.1415,-73.3579,
66,Hithadhoo,MV,82.54,-0.6,73.0833,
69,Atuona,PF,78.1,-9.8,-139.0333,
72,Puerto Ayora,EC,78.76,-0.7393,-90.3518,
74,Hami,CN,82.54,42.8,93.45,
84,Kapaa,US,80.92,22.0752,-159.319,
91,Hilo,US,81.25,19.7297,-155.09,
94,Kavieng,PG,81.28,-2.5744,150.7967,
97,Dhidhdhoo,MV,81.95,6.8833,73.1,
101,Porto Novo,BJ,78.62,6.4965,2.6036,
110,Bethel,US,82.35,41.3712,-73.414,
120,Muros,ES,79.68,42.7762,-9.0603,
121,Kloulklubed,PW,83.59,7.0419,134.2556,
133,Najran,SA,83.05,17.4924,44.1277,
138,Macheng,CN,78.53,31.1783,115.0319,
144,Vila Velha,BR,78.75,-20.3297,-40.2925,
147,Polis,CY,82.22,35.0367,32.4264,
153,America Dourada,BR,80.37,-11.4553,-41.4361,
155,Bheramara,BD,78.89,24.0232,88.9925,
158,Cimarron Hills,US,84.88,38.8586,-104.6989,
161,Sarangani,PH,82.69,5.4033,125.4636,
165,Butaritari,KI,82.06,3.0707,172.7902,
171,Sao Filipe,CV,79.14,14.8961,-24.4956,
172,Misratah,LY,82.58,32.3754,15.0925,
175,Arraial Do Cabo,BR,80.56,-22.9661,-42.0278,
184,Hasaki,JP,79.29,35.7333,140.8333,
191,Kalmunai,LK,80.19,7.4167,81.8167,
192,Pasni,PK,81.75,25.2631,63.471,
204,Shache,CN,83.71,38.4167,77.2406,
209,Dayong,CN,78.93,25.0209,118.2898,
212,Santa Maria,BR,78.1,-29.6842,-53.8069,
217,Thinadhoo,MV,82.74,0.5333,72.9333,
222,Kudahuvadhoo,MV,80.69,2.6708,72.8944,
225,Camopi,GF,83.79,3.1655,-52.3158,
251,Yuxia,CN,78.71,34.0615,108.6291,
262,Nishihara,JP,83.48,26.1842,127.7558,
265,Kotri,PK,81.64,25.366,68.3122,
278,Guerrero Negro,MX,83.08,27.9769,-114.0611,
279,Mandera,KE,83.52,3.9366,41.867,
288,Gat,IL,81.81,31.61,34.7642,
304,Manggar,ID,80.55,-2.8833,108.2667,
307,Isla Vista,US,83.25,34.4133,-119.861,
308,Klaeng,TH,84.94,12.7797,101.6483,
309,Zhezkazgan,KZ,80.62,47.8043,67.7144,
310,Port Blair,IN,81.34,11.6667,92.75,
312,Aborlan,PH,78.89,9.4352,118.5492,
313,Bom Sucesso,BR,79.43,-21.0331,-44.7581,
314,Fukuma,JP,80.6,33.7667,130.4667,
320,Ugoofaaru,MV,81.88,5.6667,73.0,
330,Sanarate,GT,80.06,14.795,-90.1922,
331,Namatanai,PG,78.22,-3.6667,152.4333,
347,Tukrah,LY,80.24,32.5341,20.5791,
354,Kaseda,JP,79.07,31.4167,130.3167,
359,Sibuco,PH,78.31,7.2911,122.0656,
376,Trincomalee,LK,79.27,8.5711,81.2335,
392,San Cristobal,VE,81.79,7.7669,-72.225,
408,Maceio,BR,78.24,-9.6658,-35.7353,
412,Makakilo City,US,80.92,21.3469,-158.0858,
419,Fatehpur,IN,84.09,25.9333,80.8,
427,Shelton,US,81.12,41.3165,-73.0932,
431,Kailua,US,79.65,21.4022,-157.7394,
432,Itoman,JP,84.22,26.1247,127.6694,
433,Maba,CN,81.16,24.6841,113.5984,
436,Broome,US,84.69,42.2506,-75.833,
442,Campanha,BR,78.21,-21.8361,-45.4006,
453,Panama City,PA,84.15,8.9936,-79.5197,
473,Tateyama,JP,79.11,34.9833,139.8667,
477,Gangapur,IN,79.34,26.4833,76.7167,
481,Acarau,BR,83.39,-2.8856,-40.12,
491,Muret,FR,80.04,43.3333,1.25,
492,Wewak,PG,79.18,-3.5534,143.6268,
493,Pachino,IT,83.07,36.7186,15.0907,
495,Ankang,CN,78.62,32.68,109.0172,
496,Sao Gabriel Da Cachoeira,BR,81.97,-0.1303,-67.0892,
499,Razole,IN,79.5,16.4833,81.8333,
514,Abu Samrah,SY,82.96,35.3029,37.1841,
