City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
0,Cape Town,ZA,2022-07-25 18:48:54,-33.9258,18.4232,59.11,62,0,4.61
1,Kahului,US,2022-07-25 18:53:52,20.8947,-156.47,81.97,68,0,14.97
2,Port Alfred,ZA,2022-07-25 18:48:55,-33.5906,26.891,56.97,70,1,14.94
3,Simga,IN,2022-07-25 18:53:52,21.6333,81.7,78.22,87,100,7.31
4,Ushuaia,AR,2022-07-25 18:47:29,-54.8,-68.3,35.26,69,40,18.41
5,Rikitea,PF,2022-07-25 18:47:29,-23.1203,-134.9692,75.33,70,32,18.41
6,Kalvarija,LT,2022-07-25 18:53:53,54.4,23.2333,62.64,83,100,6.73
7,Ashington,GB,2022-07-25 18:53:53,50.9331,-0.3909,72.41,70,20,17.27
8,Barrow,US,2022-07-25 18:48:42,71.2906,-156.7887,37.42,93,100,27.63
9,Georgetown,MY,2022-07-25 18:48:46,5.4112,100.3354,80.53,96,40,5.01
10,Darapidap,PH,2022-07-25 18:53:54,17.2131,120.4114,85.01,83,100,5.26
11,Lasa,IT,2022-07-25 18:53:55,46.6166,10.7002,68.36,92,62,5.91
12,Jamestown,US,2022-07-25 18:47:00,42.097,-79.2353,76.51,53,40,14.97
13,Betanzos,ES,2022-07-25 18:53:55,43.2804,-8.2147,74.05,80,20,11.5
14,Sitka,US,2022-07-25 18:50:51,57.0531,-135.33,57.09,88,100,3.44
15,Zhigansk,RU,2022-07-25 18:53:56,66.7697,123.3711,58.03,76,9,0.81
16,Yellowknife,CA,2022-07-25 18:47:38,62.456,-114.3525,66.72,52,75,18.41
17,Bluff,NZ,2022-07-25 18:50:09,-46.6,168.3333,43.81,88,100,25.95
18,Nikolskoye,RU,2022-07-25 18:47:32,59.7035,30.7861,66.09,93,100,2.86
19,Belmonte,BR,2022-07-25 18:53:57,-15.8631,-38.8828,75.83,67,50,9.24
20,Yangambi,CD,2022-07-25 18:53:58,0.8102,24.4336,70.72,94,100,2.26
21,Naze,JP,2022-07-25 18:53:58,28.3667,129.4833,77.92,82,10,3.47
22,Mataura,NZ,2022-07-25 18:47:28,-46.1927,168.8643,44.47,95,100,11.05
23,East London,ZA,2022-07-25 18:47:59,-33.0153,27.9116,50.94,87,0,4.61
24,Tuatapere,NZ,2022-07-25 18:51:19,-46.1333,167.6833,44.74,93,100,12.39
25,Torbay,CA,2022-07-25 18:43:17,47.6666,-52.7314,83.17,56,75,16.11
26,Albany,US,2022-07-25 18:42:34,42.6001,-73.9662,85.39,72,21,12.12
27,Esperance,AU,2022-07-25 18:53:59,-33.8667,121.9,51.37,61,0,16.51
