City_ID,City,Country,Max Temp,Lat,Lng,Hotel Name
1,Kahului,US,81.97,20.8947,-156.47,Maui Seaside Hotel
3,Simga,IN,78.22,21.6333,81.7,OM Hotel & Sweet
5,Rikitea,PF,75.33,-23.1203,-134.9692,People ThankYou
9,Georgetown,MY,80.53,5.4112,100.3354,Cititel Penang
12,Jamestown,US,76.51,42.097,-79.2353,Hampton Inn & Suites Jamestown
19,Belmonte,BR,75.83,-15.8631,-38.8828,Pousada Monte Carmelo O Pão
21,Naze,JP,77.92,28.3667,129.4833,Shishime Hotel
25,Torbay,CA,83.17,47.6666,-52.7314,Gallows Cove
29,Golpayegan,IR,78.64,33.4537,50.2884,Golpayegan Tourist Hotel
34,Lorengau,PG,81.21,-2.0226,147.2712,Lorengau Harbourside Hotel
44,Dingle,PH,75.7,10.9995,122.6711,SEGAYA PROPERTY
46,Celestun,MX,84.83,20.8667,-90.4,Posada Lilia
48,Bhinga,IN,84.87,27.7167,81.9333,ANAND MISHTAN BHANDAR AND COFFEE TEA SETAL
53,Ribeira Grande,PT,79.2,38.5167,-28.7,Quinta da Meia Eira
56,Mao,ES,84.76,39.8885,4.2658,ARTIEM Capri
58,Westport,US,80.89,41.1415,-73.3579,The Westport Inn
63,Yumen,CN,76.21,40.2833,97.2,
66,Hithadhoo,MV,82.54,-0.6,73.0833,Scoop Guest House
67,Abu Road,IN,77.52,24.4833,72.7833,Private Room In the Heart of the city.
69,Atuona,PF,78.1,-9.8,-139.0333,Villa Enata
72,Puerto Ayora,EC,78.76,-0.7393,-90.3518,Finch Bay Galapagos Hotel
74,Hami,CN,82.54,42.8,93.45,Laoyutang Resort
77,Lagoa,PT,75.15,39.05,-27.9833,Casa Das Faias
84,Kapaa,US,80.92,22.0752,-159.319,Sheraton Kauai Coconut Beach Resort
91,Hilo,US,81.25,19.7297,-155.09,Hilo Hawaiian Hotel
94,Kavieng,PG,81.28,-2.5744,150.7967,Nusa Island Retreat
97,Dhidhdhoo,MV,81.95,6.8833,73.1,Dhidhoo beach
101,Porto Novo,BJ,78.62,6.4965,2.6036,Tour Eiffel Hotel Benin
103,West Lorne,CA,77.68,42.6001,-81.5998,
106,Robertsport,LR,76.84,6.7533,-11.3686,Kwepunha Retreat
110,Bethel,US,82.35,41.3712,-73.414,Courtyard by Marriott Danbury
111,Kieta,PG,77.83,-6.2167,155.6333,Uruna Bay Retreat
120,Muros,ES,79.68,42.7762,-9.0603,Apartment Av. Castelao
121,Kloulklubed,PW,83.59,7.0419,134.2556,Storyboard Beach Resort
123,Pontianak,ID,76.98,-0.0333,109.3333,Aston Pontianak Hotel & Convention Center
129,Talara,PE,75.96,-4.5772,-81.2719,Hostal Oro Negro
133,Najran,SA,83.05,17.4924,44.1277,محمد هادي ال فطيح
138,Macheng,CN,78.53,31.1783,115.0319,Shell Macheng City Macheng Bus Station Hotel
140,Jiuquan,CN,75.24,39.7432,98.5174,Jiuquan Hotel
141,Carballo,ES,75.0,43.213,-8.691,Pazo do Souto
144,Vila Velha,BR,78.75,-20.3297,-40.2925,Hotel Vitória Palace
147,Polis,CY,82.22,35.0367,32.4264,Marion
153,America Dourada,BR,80.37,-11.4553,-41.4361,Pousada do Ninho
155,Bheramara,BD,78.89,24.0232,88.9925,Govt Guest House (Dac Banglo)
156,Paka,MY,76.98,4.6374,103.4368,RUMBIA RESORT VILLA Paka Terengganu
158,Cimarron Hills,US,84.88,38.8586,-104.6989,"Holiday Inn Express & Suites Colorado Springs-First & Main, an IHG Hotel"
